"R934_org","R933_org","R935_org","R1064_diff","R1067_diff","R938_diff","R949_org","R1064_org","R942_org","R325_env","R326_env","R327_env","R325_inv","R334_inv","R340_inv","area_of_red_border","Location_of_near-infrared_absorption_valleys(nm)","Yellow_edge_Area","Red_Edge_Position(nm)","absorption_width(nm)","area_of_red_border","D1-Variance","D5-Mean","D4-Mean","Chl"
0.67495865,0.66933442,0.67111575,-0.00832385,0.02402787,-0.00972078,0.61631426,0.62885310,0.61104573,-1.22579648,-0.85382110,-0.85916678,3.38231193,3.69549815,3.58103713,21.07365887,971,0.08867876,760,204,21.07365887,26.78200171,-0.10679620,-0.24208898,35.87417900
0.67703044,0.66642728,0.67881981,-0.01621237,0.04058810,-0.00488383,0.62245575,0.61957971,0.61363191,-1.24722768,-0.86325027,-0.86415021,3.63946280,3.75668137,3.61645704,20.56256578,971,0.08087817,760,207,20.56256578,27.73980203,-0.10770989,-0.24363999,35.62220000
0.67473516,0.66825783,0.66984799,-0.00798666,0.02443939,-0.00950090,0.61511696,0.62812146,0.60966168,-1.22647863,-0.85546193,-0.85934512,3.41192971,3.70226568,3.62682408,20.98929834,971,0.08739439,760,206,20.98929834,26.77182697,-0.10657316,-0.24209172,33.05221500
0.66094800,0.65975376,0.65026245,0.00015179,0.00692675,-0.01427878,0.59759597,0.62636814,0.59643925,-1.18418122,-0.82978513,-0.83852812,3.23044145,3.65806277,3.60776520,21.13925202,971,0.09372585,760,207,21.13925202,24.90776101,-0.10377435,-0.23617479,34.74240000
0.65160660,0.64659551,0.65056735,0.00344741,-0.00270760,-0.00461270,0.60371488,0.61820765,0.60429438,-1.21976022,-0.85312185,-0.85180251,3.53397468,3.96914712,3.96118892,19.89813425,971,0.07739293,760,207,19.89813425,26.19571126,-0.10811504,-0.24572195,33.05800300
0.63226487,0.62221242,0.63993976,0.00754548,-0.01322033,0.00397356,0.60006475,0.59984450,0.60231560,-1.23263379,-0.86047428,-0.85008288,3.97187129,4.43395546,4.43672333,18.38786938,971,0.06100150,760,207,18.38786938,26.55195853,-0.11070525,-0.25080480,32.19771900
0.60127729,0.59492267,0.60395317,-0.00265087,-0.01097183,-0.00351605,0.57024795,0.57753877,0.57342200,-1.16289644,-0.82009608,-0.81416935,3.89034111,4.46860843,4.56716877,17.75410620,971,0.05753017,760,207,17.75410620,24.35910069,-0.10255613,-0.23349681,32.83732000
0.59164224,0.58952275,0.59521839,0.00518417,0.00992371,0.00428946,0.55988722,0.57783857,0.57077494,-1.15567691,-0.81255595,-0.81232726,3.45392738,4.06466806,4.19337117,20.24438292,971,0.08127964,760,207,20.24438292,22.88505979,-0.09638055,-0.21811153,23.09992000
0.62801372,0.62659233,0.62346500,-0.00638471,-0.01060776,-0.00663429,0.56153894,0.56949963,0.56256129,-1.13429067,-0.79748957,-0.80299436,3.44053474,3.97719422,4.21994981,20.02192988,971,0.07597964,760,208,20.02192988,23.05368719,-0.09926398,-0.21146960,23.65096000
0.51065792,0.50980878,0.50890159,-0.01150893,-0.01009446,-0.01012193,0.48688603,0.50046004,0.49033837,-0.98040954,-0.69974374,-0.69950819,3.89033486,4.58241624,4.81602884,15.35921681,971,0.04755632,760,205,15.35921681,17.99751506,-0.08490064,-0.19464451,24.72504000
0.61063003,0.60053625,0.60891004,0.00801892,0.01525018,-0.01257351,0.54272795,0.53233646,0.53363253,-1.09078875,-0.76085266,-0.76358378,3.61972109,4.05449937,4.23435811,18.17818773,971,0.06724953,760,205,18.17818773,20.94895952,-0.09713699,-0.21069616,22.00152000
0.58194778,0.57696120,0.59502997,-0.02485814,0.02951174,-0.01256032,0.53558834,0.55761360,0.53680158,-1.04283735,-0.75118459,-0.75064487,3.62029900,3.94652870,4.26423002,17.59872856,971,0.06516285,760,206,17.59872856,21.24170888,-0.08887804,-0.20638792,24.74880000
0.61907069,0.60650896,0.62704835,0.01003730,-0.00770698,-0.03449331,0.57749563,0.57522981,0.56481180,-1.20185372,-0.85164814,-0.85144703,3.57195776,3.79772627,4.24243026,19.68378422,971,0.06961835,760,207,19.68378422,25.84349499,-0.09868155,-0.22233813,21.69360000
0.67454179,0.67898945,0.66184540,-0.01964076,-0.03615699,0.00292790,0.62129736,0.63282325,0.63756842,-1.25207271,-0.86869026,-0.86566357,3.19943846,3.42779897,3.40215202,24.89742505,971,0.12630274,724,170,24.89742505,26.97726814,-0.09647379,-0.21591215,28.73330000
0.53198097,0.53472799,0.52700758,0.03644748,0.00658363,-0.00253519,0.51147549,0.48923511,0.50998312,-1.03641232,-0.72708137,-0.73033772,3.79117207,4.29728464,4.36509643,15.98946877,971,0.05095862,760,207,15.98946877,19.49089930,-0.09208815,-0.21198140,23.45372000
0.56216292,0.59111246,0.52169074,-0.01772197,0.02023224,-0.02540932,0.53122489,0.51310112,0.51246525,-1.03215399,-0.74913390,-0.75229615,3.56791050,4.53232688,4.25793823,14.44881367,971,0.03885690,760,207,14.44881367,21.13507918,-0.09837530,-0.23134621,27.40188000
0.50417089,0.49407950,0.51488027,0.03908749,0.02386163,-0.00674166,0.47699170,0.48632539,0.46271083,-0.96648361,-0.68463909,-0.67853405,4.02288326,4.64336924,4.29385556,14.88112648,971,0.05047771,736,182,14.88112648,16.93457662,-0.08298373,-0.21276458,22.51520000
0.52293954,0.50689477,0.53579619,0.01251438,0.00549836,-0.00119397,0.49218872,0.48610557,0.50040539,-1.02494078,-0.70079512,-0.69754428,4.69865070,4.35684398,4.62167573,16.67281121,971,0.05732326,760,208,16.67281121,17.73621331,-0.08666765,-0.19258383,21.71788000
0.50208654,0.50293598,0.50338922,-0.00033207,-0.03060002,-0.00845074,0.48797225,0.48474201,0.48173523,-0.98045930,-0.69261599,-0.69394700,3.85312741,4.19433032,4.18529993,16.83097285,971,0.06135142,730,177,16.83097285,16.54051901,-0.08288475,-0.18645633,21.20472000
0.49900818,0.50266043,0.49164809,0.00427167,0.01414926,-0.00616407,0.45827348,0.47441074,0.45094276,-0.91242162,-0.64586967,-0.65077014,3.55501675,4.00149545,4.02802442,15.56714198,971,0.05988112,760,207,15.56714198,15.17232345,-0.07999028,-0.18315507,19.90992000
0.48442945,0.48121839,0.48068860,0.00969628,-0.01483324,-0.00489254,0.43476514,0.46193943,0.45128573,-0.92818328,-0.65524299,-0.65771489,3.96504605,4.80309402,4.83201105,14.55198026,971,0.04402634,730,177,14.55198026,15.69376279,-0.07860274,-0.17402345,17.82220000
0.45306978,0.46651799,0.44961670,0.03676924,-0.03489328,0.00491545,0.44529691,0.41286559,0.44025673,-0.88361371,-0.62357240,-0.62431595,4.05515453,4.45274045,4.29879682,16.18982977,971,0.06016051,730,177,16.18982977,14.27929301,-0.06993186,-0.16024634,18.80040000
0.63040325,0.62483309,0.62002841,0.00445501,-0.01077508,-0.00984223,0.55890987,0.55353967,0.54691903,-1.09328609,-0.77062973,-0.78463151,3.39670204,3.89105999,4.34674595,18.30999876,971,0.07239176,760,207,18.30999876,22.36367374,-0.09767700,-0.21615131,21.24064000
0.49607293,0.50099179,0.49477010,0.00695463,-0.00712307,-0.00653286,0.48250714,0.47000349,0.47509682,-0.99547245,-0.69396714,-0.70355000,3.83330554,4.30817982,4.34499077,17.83901748,972,0.06092289,731,179,17.83901748,17.40944571,-0.08059061,-0.16695711,18.19080000
0.55717564,0.54707074,0.56583171,-0.00270991,-0.00124216,-0.00206854,0.53118695,0.53807808,0.53473181,-1.05080865,-0.73360242,-0.72943725,3.94488329,3.84751788,3.95430424,18.84519040,972,0.07629989,760,208,18.84519040,19.75115403,-0.08321694,-0.18655242,22.33624000
0.48460967,0.48360755,0.48492894,-0.00115678,0.00084112,-0.01075276,0.45328752,0.45875350,0.47276647,-0.94389963,-0.66314596,-0.66906952,3.80014685,4.78044075,4.35055700,13.96350195,972,0.03959214,738,185,13.96350195,16.27074274,-0.08311210,-0.20303561,20.20672000
0.44798662,0.45104476,0.44434758,0.00239274,0.02237088,0.00583091,0.42808976,0.42503892,0.42393122,-0.82313980,-0.59349086,-0.59514623,3.76929658,3.94749934,4.33085174,13.84237156,972,0.04974546,760,208,13.84237156,13.05035693,-0.07374616,-0.16297193,19.80436000
0.44733048,0.44929640,0.44170359,0.01582687,-0.00720166,0.02299726,0.42594511,0.41229233,0.45207546,-0.88006647,-0.61973514,-0.62476539,4.17168293,4.26227929,5.10462041,14.93119589,972,0.05106494,724,171,14.93119589,13.95983824,-0.07258409,-0.15821638,16.65211000
0.48431084,0.47929216,0.48765806,-0.00898102,-0.00115604,0.01449820,0.44864255,0.44794873,0.44691624,-0.88873553,-0.62411634,-0.61826875,4.46206848,4.52795698,4.99547077,13.64061757,972,0.04118351,760,205,13.64061757,14.42735284,-0.07784042,-0.17796824,15.96976000
0.53301296,0.53727321,0.52074446,-0.00757743,0.01671697,-0.01906470,0.48678949,0.48747386,0.47938857,-0.91930003,-0.64428772,-0.65502844,3.10561032,3.52905372,3.73032796,17.78795506,972,0.07724718,760,207,17.78795506,15.70913574,-0.08055908,-0.17061797,18.62908000
0.36662095,0.36025984,0.37266568,0.00743666,-0.01097859,0.00488281,0.35810418,0.35417579,0.36310592,-0.71462646,-0.50653710,-0.50397863,4.17040784,4.76146167,4.55548238,12.69121665,972,0.04406128,729,177,12.69121665,9.24838850,-0.05813780,-0.13080616,17.47564000
0.41863471,0.42779880,0.41323085,0.01743566,-0.00740039,-0.00235351,0.40857678,0.39913102,0.42931858,-0.82723503,-0.58232482,-0.58472068,3.64063694,4.25366661,4.21004239,15.07951765,972,0.05315444,730,177,15.07951765,12.41679381,-0.06849940,-0.15313572,17.41708000
0.39107851,0.39283108,0.39143484,0.01178279,-0.01173115,-0.00199253,0.37728398,0.38751888,0.37735598,-0.75298001,-0.52595224,-0.52193887,4.13922849,4.14382011,4.17072226,14.78112845,972,0.05783246,724,171,14.78112845,10.00481689,-0.06182280,-0.13164706,16.42200000
0.52145720,0.52697909,0.51951080,-0.01537188,-0.00198535,0.00872571,0.46176268,0.51695290,0.48548155,-0.98708318,-0.71083226,-0.70367040,3.75119048,5.18494117,4.66182087,15.54847191,972,0.05004070,738,184,15.54847191,18.41943033,-0.08908370,-0.21414031,18.40276000
